name;description;longitude;latitude
Dwergbieslaan 60 Utrecht;Krachtstroom Nuon EVB-P1607257 mennekes;4.998469;52.097584
Papendorpseweg 99 Secoya Building Gebouw C Utrecht;Krachtstroom Alfen NLMAB_0911 mennekes;5.088218;52.06293
Tjaskermolenlaan 7 Woerden;Krachtstroom EV-Box EVB-P1548120 mennekes;4.88912903;52.07484315
Directiekade 15 Rotterdam;Krachtstroom EV-Box EVB-P1542247 mennekes;4.4230218;51.8971822
Couwenburg 58 nabij Cityrent Rotterdam;Snellader Allego NLALLEGO0000282 combo;4.47926;51.925503
Couwenburg 58 nabij Cityrent Rotterdam;Snellader Allego NLALLEGO0000281 chademo;4.47926;51.925503
Abrikozenstraat 209 Den Haag;Krachtstroom Alfen GDH4012 mennekes;4.254382;52.068259
Kollenbergweg 56 1101 AR Amsterdam;Krachtstroom Alfen MANS_0172 mennekes;4.93812;52.305504
Kollenbergweg 56 1101 AR Amsterdam;Krachtstroom Alfen MANS_0171 mennekes;4.93812;52.305504
Kerkweg 100 Lekkerkerk;Krachtstroom EV-Box EVB-P1536055 mennekes;4.6844;51.8999
Rietven 282 Veghel;Krachtstroom NewMotion 03001026 mennekes;5.55493879999995;51.6291752
F. Bordewijkstraat 3 Grootebroek;Stopcontact EV-Box EVB-P1437142 mennekes;5.21556065;52.70121998
Baambrugse Zuwe 1 Vinkeveen;Krachtstroom Allego NLALLEGO0008142 mennekes;4.9328517;52.21991866
Earl Bakkenstraat 10 Heerlen;Krachtstroom Ecotap 1702294 mennekes;6.005851;50.838929
Viaduct 3 (noordzijde Afsluitdijk) Zurich;Snellader Allego NLALLEGO0001451 chademo;5.384174;53.09903
Viaduct 3 (noordzijde Afsluitdijk) Zurich;Krachtstroom Allego NLALLEGO0001452 mennekes;5.384174;53.09903
Tunnelweg 7F Haarle;Krachtstroom NewMotion ICUEVE000509 mennekes;6.41422999999998;52.3802329
Kortewelle 20 Rotterdam;Krachtstroom EV-Box EVB-P1516033 mennekes;4.51437;51.88965
Duffelsesteenweg 145 Kontich;Krachtstroom Sportcomplex De Nachtegaal mennekes;4.4530694;51.1292154
Hekkerstraat 64 Wetteren;Krachtstroom Zeshoek Wetteren mennekes;3.8877619;51.0049165
Sportweg 8 Lummen;Krachtstroom Zwembad Lummen mennekes;5.189624;50.991178
Fascinatio Boulevard 1302 Capelle aan Den IJssel;Krachtstroom EV-Box EVB-P1348111 mennekes;4.54476;51.91881
Vuilcop 9 Nieuwegein;Krachtstroom EV-Box EVB-P1421171 mennekes;5.12598917;52.02351608
Het Plein 100 Hengelo;Krachtstroom NewMotion 03002656 mennekes;6.7672724157303;52.2895776090908
Het Plein 100 Hengelo;Krachtstroom NewMotion 03001301 mennekes;6.76715976295168;52.2895890934948
Jeruzalemstraat 75 Rotterdam;Krachtstroom EV-Box EVB-P1427212 mennekes;4.50772;51.92958
Jeruzalemstraat 75 Rotterdam;Krachtstroom EV-Box EVB-P1427212 mennekes;4.50772;51.92958
Hezemeer 14 Laakdal;Krachtstroom Hezemeer mennekes;5.0286774;51.1116085
Metternicher Strasse 5 Weilerwist;Krachtstroom EV-Box EVB-P1445011 mennekes;6.85289;50.75267
Pieter de Hoochweg 14 Rotterdam;Krachtstroom EV-Box EVB-P1408115 mennekes;4.45903;51.90784
Geesterweg 1 (Van der Valk Akersloot) Akersloot;Krachtstroom Allego NLALLEGO0001462 mennekes;4.722723;52.54767
Nieuwe Schoolstraat 20 Den Haag;Krachtstroom Alfen GDH3871 mennekes;4.311544;52.084829
Geesterweg 1 (Van der Valk Akersloot) Akersloot;Snellader Allego NLALLEGO0001461 chademo;4.722723;52.54767
Lepelaar 4 (A6 oostzijde-Haje restaurant Lelystad;Snellader Allego NLALLEGO0001441 chademo;5.425186;52.433759
Lepelaar 4 (A6 oostzijde-Haje restaurant Lelystad;Krachtstroom Allego NLALLEGO0001442 mennekes;5.425186;52.433759
Veengang 18 Ooststellingwerf;Krachtstroom NewMotion ICUEVE000562 mennekes;6.2961186826033;52.978770643589996
Nieuwe Schoolstraat 20 Den Haag;Krachtstroom Alfen GDH3872 mennekes;4.311544;52.084829
Voorduinstraat 22 Haarlem;Stopcontact NewMotion 02011698 mennekes;4.632383;52.4011345
Hermann-Bahlsen-Straße 1 Barsinghausen;Stopcontact NewMotion 02010164 mennekes;9.46350955963135;52.3146438598633
Prinses Irenestraat 3  De Lier;Stopcontact EVnetNL DB0062 mennekes;4.250979;51.97431
Emily Brontesingel 52 Arnhem;Krachtstroom Allego NLALLEGO0001581 mennekes;5.905678;51.941405
Van Lansschotlaan 2 Vught;Krachtstroom Allego NLALLEGO0012141 mennekes;5.28554043;51.6549081
Van Lansschotlaan 2 Vught;Krachtstroom Allego NLALLEGO0012142 mennekes;5.28554043;51.6549081
Hauptstraße 27 Chieming;Krachtstroom NewMotion 03001358 mennekes;12.53609;47.89019
Bunschoter Veenkamp 11 Bunschoten-Spakenburg;Stopcontact NewMotion 02011632 mennekes;5.379387;52.2332047
Fjordvegen 14 Kaldfjord;Stopcontact NewMotion 02010218 mennekes;18.745551;69.677575
Fjordvegen 14;Stopcontact NewMotion 02010232 mennekes;18.745551;69.677575
Herbartstr. 15 Berlin;Krachtstroom Allego DEALLEGO0000352 mennekes;13.285287;52.507096
Rijn 10 Den Haag;Krachtstroom EV-Box EVB-P1551140 mennekes;4.38569033;52.0683299
Gompenstraat 21 Waalwijk;Stopcontact EV-Box EVB-P1425194 mennekes;5.0305147;51.70015597
Zwolseweg 17-21 Barendrecht;Krachtstroom EV-Box EVB-P1414158 mennekes;4.51016012;51.86044325
Driebergsestraatweg 48 Doorn;Krachtstroom EV-Box EVB-P1422091 mennekes;5.30665;52.04596
Beekse Bergen 1 Hilvarenbeek;Krachtstroom EV oplaadpaal mennekes;5.116203725338;51.52335065302
Dwarswyk 88 Drachten;Krachtstroom NewMotion 03006607 mennekes;6.11183670000003;53.1101991
Hauptstraße 6 Unterdietfurt;Krachtstroom NewMotion 03001581 mennekes;12.66697;48.39393
Schilderstraat 7 Rotterdam;Krachtstroom EV-Box EVB-P1523020 mennekes;4.48109;51.91647
Fleur 49 Hoogvliet Rotterdam;Krachtstroom EV-Box EVB-P1417020 mennekes;4.36552;51.84998
Fleur 49 Hoogvliet Rotterdam;Krachtstroom EV-Box EVB-P1417020 mennekes;4.36552;51.84998
Wilgensingel 41 Rozenburg;Krachtstroom EV-Box EVB-P1415250 mennekes;4.25637;51.90291
Wilgensingel 41 Rozenburg;Krachtstroom EV-Box EVB-P1415250 mennekes;4.25637;51.90291
Hafenstraße  Borbeck;Krachtstroom Essent EM-DE-05113000-14-00003 mennekes;6.977961;51.485481
Waterkeringweg 1 Amsterdam;Krachtstroom Nuon EVB-P1552219 mennekes;4.86689;52.385108
van Pallandstraat 9 Arnhem;Krachtstroom Allego NLALLEGO0003281 mennekes;5.899106;51.98887
Helena Coetsstraat 19 Arnhem;Krachtstroom Allego NLALLEGO0002822 mennekes;5.899422;52.0041
Marjoleinlaan 16 Barendrecht;Krachtstroom EV-Box EVB-P1548022 mennekes;4.54492;51.85467
Van der Madeweg  Ouder-Amstel;Snellader BMW amsterdam combo;4.92133051157;52.328848416736
Pieter de Hoochweg 14 Rotterdam;Krachtstroom EV-Box EVB-P1408115 mennekes;4.45903;51.90784
John F. Kennedylaan 71 Rijswijk;Krachtstroom Alfen RHL07101 mennekes;4.305454;52.037422
John F. Kennedylaan 71 Rijswijk;Krachtstroom Alfen RHL07102 mennekes;4.305454;52.037422
Princesselaan 1 Rijswijk;Krachtstroom Alfen RHL07121 mennekes;4.339864;52.055181
Princesselaan 1 Rijswijk;Krachtstroom Alfen RHL07122 mennekes;4.339864;52.055181
Malburgse sluis 2 Arnhem;Krachtstroom Allego NLALLEGO0006711 mennekes;5.92875958;51.95868352
Oosterdoksstraat 150 Amsterdam;Stopcontact NewMotion 02011645 mennekes;4.9092051;52.3761913
Johan Verhulstweg 22 Bloemendaal;Krachtstroom Allego NLALLEGO0006152 mennekes;4.62721157;52.41342762
Oosterdoksstraat 150 Amsterdam;Stopcontact NewMotion 02010281 mennekes;4.90701960000001;52.3759189
Oosterdoksstraat 150 Amsterdam;Stopcontact NewMotion 02010128 mennekes;4.90697260000002;52.3765816
Johan Verhulstweg 22 Bloemendaal;Krachtstroom Allego NLALLEGO0006151 mennekes;4.62721157;52.41342762
Diepholtstraat 1 Zwolle;Krachtstroom NewMotion 03000025 mennekes;6.16312265396118;52.532484540654
Diepholtstraat 1 Zwolle;Krachtstroom NewMotion 03000024 mennekes;6.16257572174072;52.5324302593801
Dieselstraße 2A Moormerland;Stopcontact NewMotion 02009615 mennekes;7.46881;53.31007
Van Heurnlaan Vught;Krachtstroom EVnetNL PNB-ENO035 mennekes;5.29937;51.655397
Erfurter Str. 31 Apolda;Krachtstroom NewMotion ICUEVE000580 mennekes;11.50058;51.02402
Diepholtstraat 1 Zwolle;Krachtstroom NewMotion 03000029 mennekes;6.16426229476929;52.5326128187594
Oosterdoksstraat 150 Amsterdam;Stopcontact NewMotion 02010123 mennekes;4.90697260000002;52.3765816
Diepholtstraat 1 Zwolle;Krachtstroom NewMotion 03000026 mennekes;6.16375052928925;52.5325654792244
Badhuisstraat 13 Haarlem;Krachtstroom Allego NLALLEGO0006121 mennekes;4.6343662;52.37382821
Pfingstweidstrasse 110 Zurich;Krachtstroom EV-Box EVB-P1351066 mennekes;8.51227;47.39083
Jupiter 209C Honselersdijk;Krachtstroom EV-Box EVB-P1419234 mennekes;4.23727167;51.99446815
Toermalijnstraat 5 Alkmaar;Krachtstroom EV-Box EVB-P1247105 mennekes;4.7450513;52.60732618
Eksterstraat  Benschop;Krachtstroom EV-Box EVB-P1446105 mennekes;4.97890335;52.00728447
Steenweg 11 Tegelen;Krachtstroom EV-Box EVB-P1445093 mennekes;6.13770438;51.33497163
Eksterstraat  Benschop;Krachtstroom EV-Box EVB-P1446105 mennekes;4.97890335;52.00728447
Steenweg 11 Tegelen;Krachtstroom EV-Box EVB-P1445093 mennekes;6.13770438;51.33497163
Meerkoet 6 Ridderkerk;Stopcontact EV-Box EVB-P1402418 mennekes;4.60797048;51.86020505
Tiarastraat 18 Almere;Krachtstroom EV-Box EVB-P1421057 mennekes;5.30827588;52.407536
Patrijs 11 Ridderkerk;Krachtstroom EV-Box EVB-P1548008 mennekes;4.61245;51.86475
Westerduinweg 1 IJmuiden;Stopcontact NewMotion 02009147 mennekes;4.57728385925293;52.4619789123535
Trawlerkade 33 IJmuiden;Krachtstroom NewMotion 03000253 mennekes;4.5880551;52.4596829
Kopenhagen 1 Barendrecht;Krachtstroom EV-Box EVB-P1247036 mennekes;4.50916;51.84978
Heuvel 9a Sint-Oedenrode;Stopcontact Café De Ossekop schuko;5.4597917766296;51.563194150193
Oudedijkse Schiekade 79 Rotterdam;Krachtstroom EV-Box EVB-P1415122 mennekes;4.44324;51.93547
Unnastraße 25 Hamburg;Krachtstroom Essent EM-DE-02000000-20-00002 mennekes;9.959767;53.579
Alfred Verweeplein 1 Knokke-Heist;Krachtstroom ENO-KP03-02-168_1 mennekes;3.2900603;51.34308
Nassaukade 134I Amsterdam;Krachtstroom NewMotion 03000164 mennekes;5.0388863;52.1284584
Lester Pearsonweg 22 P-terrein tegenover genoemd adres De Bilt;Krachtstroom Allego NLALLEGO0005571 mennekes;5.17133208;52.10791369
Wittichenauer Str. 50 Hoyerswerda;Stopcontact NewMotion 02010937 mennekes;14.22715;51.42334
Griffioenlaan 1 Utrecht;Stopcontact NewMotion 02009476 mennekes;5.10480759999996;52.0575802
Anthony Knottenbeltsingel 2 Vlaardingen;Krachtstroom EV-Box EVB-P1529039 mennekes;4.3501898;51.9175551
Lekdijk West 33 Bergambacht;Krachtstroom EV-Box EVB-P1445084 mennekes;4.77489415;51.91921078
Lekdijk West 33 Bergambacht;Krachtstroom EV-Box EVB-P1445084 mennekes;4.77489415;51.91921078
Warmonderf 5 Tilburg;Krachtstroom Allego NLALLEGO0011462 mennekes;4.99993952;51.57249505
Kees Koornneefstraat 8 Rotterdam;Krachtstroom EV-Box EVB-P1408027 mennekes;4.5107;51.94839
Kees Koornneefstraat 8 Rotterdam;Krachtstroom EV-Box EVB-P1408027 mennekes;4.5107;51.94839
Braziliëstraat 62 Alphen aan Den Rijn;Stopcontact NewMotion 02011743 mennekes;4.644877;52.1216841
Arnold Hoogvlietstraat 12 Vlaardingen;Krachtstroom EV-Box EVB-P1406226 mennekes;4.34891;51.90915
Ninnesweg 50 Panningen;Krachtstroom EV-Box EVB-P1419087 mennekes;5.36193;52.16616
Tiarastraat 18 Almere;Krachtstroom EV-Box EVB-P1421057 mennekes;5.30827588;52.407536
Mr. Beerninkplantsoen 68 Rijswijk;Krachtstroom Alfen RHL07012 mennekes;4.315937;52.023473
Watergeusstraat 53 Rotterdam;Krachtstroom EV-Box EVB-P1607078 mennekes;4.44649;51.90871
Burgemeester Lodderstraat 13 Opheusden;Stopcontact EV-Box EVB-P1351174 mennekes;5.6308;51.93411
EV-Box EVB-P1422064;Krachtstroom mennekes;5.25978;52.35984
Mr. Beerninkplantsoen 68 Rijswijk;Krachtstroom Alfen RHL07011 mennekes;4.315937;52.023473
Stationsplein nabij 8 Voorburg;Krachtstroom Alfen RHL06031 mennekes;4.360077;52.065652
Pastoriesingel 7 Tjalleberd;Stopcontact EV-Box EVB-P1410097 mennekes;5.94425753;52.99712392
Viehhofstrasse 125 Villa Media Wuppertal;Krachtstroom Allego DEALLEGO0000011 mennekes;7.132709;51.244896
EV-Box EVB-P1422064;Krachtstroom mennekes;5.25978;52.35984
Engelandlaan 1242 Haarlem;Krachtstroom Allego NLALLEGO0005541 mennekes;4.64395631;52.35698098
Badhuisstraat 13 Haarlem;Krachtstroom Allego NLALLEGO0006122 mennekes;4.6343662;52.37382821
