OBJECTNUMMER;Energielabel;COORDS;LNG;LAT;
3648;"D";"POLYGON((4.842441 52.379815,4.841898 52.379804,4.841896 52.379862,4.842437 52.379873,4.842441 52.379815))";"4,8421685";"52,379837";
3649;"C";"POLYGON((4.901428 52.371202,4.901402 52.371171,4.901269 52.371138,4.901185 52.37127,4.901194 52.371299,4.901289 52.371329,4.901348 52.371323,4.901428 52.371202))";"4,9013065";"52,371235";
3650;"D";"POLYGON((4.823791 52.356295,4.823324 52.356288,4.823323 52.356328,4.823379 52.356329,4.823379 52.356361,4.823788 52.356365,4.823791 52.356295))";"4,823557";"52,356327";
3651;"G";"POLYGON((4.825118 52.382981,4.825008 52.382979,4.824995 52.383265,4.825105 52.383266,4.825118 52.382981))";"4,8250565";"52,383123";
3652;"F";"POLYGON((4.928784 52.344917,4.92847 52.344727,4.928389 52.344778,4.928702 52.344968,4.928784 52.344917))";"4,9285865";"52,344847";
3653;"C";"POLYGON((4.987359 52.292218,4.987326 52.292098,4.986973 52.292133,4.986994 52.292213,4.98729 52.292183,4.9873 52.292223,4.987359 52.292218))";"4,987166";"52,292162";
3654;"D";"POLYGON((4.926395 52.336392,4.926059 52.33628,4.925995 52.336352,4.926331 52.336463,4.926395 52.336392))";"4,926195";"52,3363725";
3655;"D";"POLYGON((4.879129 52.417082,4.878861 52.416871,4.878769 52.416914,4.879036 52.417127,4.879129 52.417082))";"4,878949";"52,416998";
3656;"F";"POLYGON((4.928414 52.342962,4.92833 52.342913,4.928022 52.343105,4.928103 52.343155,4.928414 52.342962))";"4,928218";"52,343035";
3657;"B";"POLYGON((4.898651 52.411401,4.898537 52.41114,4.898425 52.411159,4.89854 52.41142,4.898651 52.411401))";"4,898538";"52,4112795";
3658;"F";"POLYGON((4.929051 52.344751,4.928738 52.344561,4.928656 52.344612,4.92897 52.344801,4.929051 52.344751))";"4,9288535";"52,344683";
3659;"C";"POLYGON((4.92604 52.336794,4.925702 52.336682,4.92564 52.336754,4.925976 52.336866,4.92604 52.336794))";"4,92584";"52,3367725";
3660;"C";"POLYGON((4.924408 52.389548,4.924377 52.389452,4.924071 52.389486,4.924102 52.389585,4.924408 52.389548))";"4,9242395";"52,389519";
3661;"C";"POLYGON((4.820461 52.347499,4.820305 52.347496,4.820298 52.347696,4.820454 52.347697,4.820461 52.347499))";"4,8203795";"52,347597";
3662;"D";"POLYGON((5.014742 52.306727,5.014412 52.306622,5.014354 52.306688,5.01468 52.3068,5.014742 52.306727))";"5,014548";"52,3067115";
3663;"D";"POLYGON((4.895911 52.411333,4.895645 52.411123,4.895553 52.411166,4.895818 52.411377,4.895911 52.411333))";"4,895732";"52,411249";
3664;"D";"POLYGON((4.916481 52.398482,4.916389 52.398447,4.916142 52.39869,4.916234 52.398725,4.916481 52.398482))";"4,9163115";"52,3985845";
3665;"C";"POLYGON((4.941117 52.339171,4.940822 52.338994,4.940737 52.339047,4.941031 52.339225,4.941117 52.339171))";"4,940927";"52,3391095";
3666;"D";"POLYGON((4.972331 52.294484,4.972223 52.294437,4.972003 52.294628,4.972111 52.294674,4.972331 52.294484))";"4,972167";"52,2945555";
3667;"G";"POLYGON((4.82177 52.37953,4.821726 52.379425,4.821451 52.379468,4.821495 52.379573,4.82177 52.37953))";"4,8216105";"52,3794995";
3668;"C";"POLYGON((4.820478 52.34692,4.820323 52.346918,4.820317 52.347117,4.820471 52.347118,4.820478 52.34692))";"4,8203975";"52,347017";
3669;"F";"POLYGON((4.931599 52.392262,4.931142 52.392232,4.931131 52.392299,4.931586 52.392329,4.931599 52.392262))";"4,931365";"52,3922805";
3670;"E";"POLYGON((4.965947 52.407755,4.965911 52.407689,4.965489 52.407776,4.965526 52.407842,4.965947 52.407755))";"4,965718";"52,4077645";
3671;"C";"POLYGON((4.820469 52.347209,4.820315 52.347208,4.820308 52.347406,4.820463 52.347408,4.820469 52.347209))";"4,8203885";"52,347307";
3672;"C";"POLYGON((4.967133 52.322753,4.967044 52.322723,4.967016 52.322754,4.966936 52.322727,4.966813 52.32286,4.966931 52.322901,4.966968 52.322861,4.967019 52.322878,4.967133 52.322753))";"4,966973";"52,322813";
