LNG;LAT;ENERGY_PERFORMANCE
4.92907;52.3627435;5.651
4.900146;52.3515015;2.898
4.805014;52.346552;2.055
4.84365;52.366514;5.334
4.851292;52.372877;5.386
4.8641505;52.3679425;3.527
4.8289065;52.349102;4.004
4.9266305;52.356855;2.787
4.8043695;52.347748;2.556
4.8676935;52.364813;3.263
4.918072;52.3627495;7.496
4.8901045;52.348743;3.252
4.8785635;52.3486005;2.36
4.8579355;52.3710175;5.092
4.836016;52.3463765;7.277
4.843722;52.365204;4.43
4.916545;52.382019;3.422
4.8438465;52.3613665;3.455
4.973975;52.317217;4.682
4.8923845;52.3455105;5.584
4.879059;52.391127;4.161
4.843811;52.3626785;3.046
4.9395925;52.360735;3.089
4.8878725;52.3572315;3.144
4.907309;52.3517895;4.13
4.848423;52.374733;5.374
4.870599;52.3849885;4.513
4.8704395;52.373226;5.777
4.912064;52.35763;3.943
4.880173;52.353697;3.505
4.8641615;52.3642195;3.431
4.8565135;52.3833635;5.229
4.8853565;52.354092;4.771
4.869404;52.3648985;2.743
4.8264395;52.3419095;3.869
4.849155;52.3735045;5.944
4.9579525;52.315491;1.582
4.8612955;52.3619865;3.918
4.9146955;52.3325695;5.442
4.890178;52.34927;3.563
4.9699045;52.3171315;3.902
4.853983;52.345352;2.825
4.8537325;52.365042;5.487
4.903958;52.34815;5.878
4.846756;52.373779;5.194
4.83035;52.3406255;7.94
4.8897665;52.3571225;5.605
4.864493;52.3637105;2.396
4.918163;52.383987;3.887
4.85394;52.384247;6.745
4.872925;52.3699205;3.649
4.8905545;52.416937;4.93
4.879195;52.3757765;5.258
4.874126;52.3702295;3.116
4.915936;52.4106845;3.913
4.828062;52.3553585;3.127
4.895617;52.376732;3.176
4.8622425;52.363781;3.491
4.8530305;52.3842315;6.75
4.9076375;52.3455545;5.642
4.866758;52.3645515;3.918
4.8498805;52.354134;5.558
4.847358;52.353489;5.058
4.87635;52.3923075;5.932
4.9866815;52.318308;4.838
4.937654;52.3628945;4.899
4.917065;52.3397845;1.458
4.8874565;52.419935;4.773
4.897326;52.3485815;5.103
4.8921;52.380569;4.22
4.897107;52.349512;4.365
4.896291;52.3494;4.195
4.8633335;52.36664;5.663
4.796805;52.350504;2.913
4.9233025;52.353598;5.349
4.846805;52.352503;5.049
4.8666765;52.365463;4.73
4.8295715;52.3794135;4.789
4.838168;52.353964;3.862
4.9030575;52.3544255;3.241
4.9420495;52.3539275;6.003
4.9014915;52.350124;5.808
4.9023195;52.350239;5.853
4.866319;52.3946895;1.468
4.867204;52.3709205;5.513
4.8572155;52.3653355;6.686
4.868513;52.3688355;5.099
4.8344745;52.3786335;4.532
4.8922785;52.350109;3.134
4.976427;52.3220445;4.19
4.9352475;52.3046055;1.911
4.8520715;52.3842545;6.53
4.85168;52.3719575;4.542
4.8623055;52.3680265;6.317
4.854319;52.3663635;5.653
4.865879;52.3624975;5.847
4.9019745;52.349228;5.978
4.867173;52.3950975;1.069
4.861843;52.376987;5.705
4.9564645;52.30596;5.914
4.881521;52.368166;4.791
4.8998105;52.3710845;3.766
4.8491825;52.3691425;5.461
4.9415735;52.3732945;3.389
4.9248565;52.358955;3.726
4.8870545;52.383137;3.61
4.921328;52.354271;3.062
4.922125;52.3709125;2.717
4.841262;52.35705;1.875
4.9347475;52.3777885;3.762
4.8634355;52.36191;2.146
4.8727435;52.370911;3.168
4.954554;52.3095815;4.398
4.867887;52.3944545;1.65
4.8719265;52.375715;5.279
4.9035785;52.3690605;6.836
4.893724;52.350155;3.494
4.805834;52.358488;3.112
4.913051;52.3605975;3.905
4.9585915;52.306843;5.367
4.942564;52.3644925;5.553
4.927516;52.364834;2.412
4.8818275;52.3487125;1.953
4.946324;52.3716945;4.342
4.9128855;52.3508355;3.205
4.9128085;52.356558;4.143
4.90587;52.3497885;6.667
4.8526375;52.345335;2.681
4.8880875;52.3893165;5.315
4.923868;52.365402;3.378
4.9312595;52.3995115;4.329
4.848558;52.35191;5.1
4.945588;52.3636395;3.93
4.9461745;52.2915135;3.093
4.9294975;52.398144;4.564
4.9010635;52.347647;5.178
4.8748915;52.391651;4.054
4.911074;52.3423135;4.955
4.9208815;52.3548185;4.656
4.897914;52.3729595;4.469
4.8738425;52.371174;3.173
4.981552;52.3004095;3.111
4.9436925;52.373497;3.016
4.86686;52.3677825;5.762
4.881692;52.3690685;3.761
4.9423725;52.300535;4.384
4.812783;52.3498535;3.841
4.812885;52.346802;3.272
4.915637;52.356432;4.051
4.870847;52.384447;4.193
4.8054665;52.3657915;2.013
4.9244495;52.370075;3.407
4.873505;52.39032;5.604
4.926753;52.3952925;5.191
4.788868;52.362486;3.086
4.898959;52.342413;5.171
4.9171205;52.3568515;3.96
4.8795845;52.3885445;4.67
4.8979325;52.406637;3.611
4.8710765;52.383917;4.693
4.858177;52.3804455;4.751
4.8724335;52.3851415;4.384
4.8636575;52.3647305;2.02
4.922233;52.358881;4.137
4.9168215;52.3556675;4.866
4.9389435;52.359146;3.866
4.874128;52.3840275;3.04
4.869469;52.370415;4.468
4.859572;52.3464435;4.691
4.9002005;52.3520145;5.736
4.94279;52.363699;2.895
4.922421;52.3877125;1.089
4.8727005;52.3755835;5.076
4.8749165;52.3620285;4.749
4.886135;52.3889235;3.971
4.8640035;52.3491575;5.468
4.89453;52.3456135;4.251
4.9831365;52.308176;4.286
4.869334;52.365496;3.86
4.8360975;52.3447625;4.909
4.916247;52.361229;4.064
4.8468805;52.354572;6.067
4.872447;52.384617;3.762
4.9133775;52.3500155;4.554
4.854632;52.3704815;4.374
4.854403;52.3735925;5.84
4.8370285;52.3855475;1.686
4.893906;52.3400575;2.834
4.871293;52.383419;3.447
4.8806105;52.3686735;3.618
4.9239965;52.410276;3.257
4.846815;52.3518925;5.77
4.8560935;52.3499905;7.148
4.86535;52.3944565;1.3
4.865718;52.3696285;5.335
4.8741785;52.38517;4.411
4.922491;52.358288;3.656
4.900999;52.347084;4.239
4.8979505;52.3418275;5.719
4.8729555;52.3617285;4.389
4.9008865;52.3481405;5.026
4.916693;52.3508495;3.435
4.930906;52.3951835;7.431
4.935452;52.394972;7.33
4.8755015;52.363865;5.288
4.893519;52.357523;4.644
4.9202385;52.3698525;3.48
4.8067575;52.357628;3.331
4.899741;52.3419645;5.862
4.947676;52.3739775;3.13
4.860118;52.349493;5.376
4.8881825;52.344704;3.643
4.9025585;52.3483715;5.955
4.8754265;52.383417;5.693
4.9088925;52.355576;4.99
4.8517815;52.363792;4.494
4.9293085;52.3622645;5
4.8760095;52.383072;4.399
4.8787045;52.3847175;5.985
4.957728;52.3142985;1.743
4.9750825;52.323858;6.956
4.874846;52.3837315;4.486
4.8534285;52.369175;4.4
4.874195;52.384676;4.412
4.96989;52.3236985;6.511
4.8795855;52.3934875;2.083
4.9162125;52.391418;6.061
4.883817;52.353256;3.959
4.865391;52.3676815;4.719
4.916632;52.392298;6.895
4.905532;52.3506755;6.626
4.920575;52.403631;3.703
4.948409;52.3715495;3.962
4.980019;52.306675;4.424
4.8803045;52.3929365;2.924
4.867741;52.3812025;5.345
4.8490845;52.383995;5.415
4.94533;52.365034;3.529
4.8934395;52.371542;7.694
